name,old_price,new_price,image
Omiz Pull à coudière - Vert,84.90 TND,44.90 TND,https://tn.jumia.is/cms/000_Ramadan22/00_Live/JE/TN-Ram22_Jexpress_Stickybanner.gif
Maze Pull Homme -  Gris Et Bleu,38.00 TND,19.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/7405/1.jpg?9948
Etre exclusif Pull - Homme -  9389 H22 - Col roulé -  NOIR,78.00 TND,44.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/6925/1.jpg?9990
Omiz pull avec texture,79.90 TND,34.90 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/3115/1.jpg?8148
Etre exclusif Gilet - Homme - 8710 H22 -  noir,82.00 TND,54.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/2405/1.jpg?1549
Etre exclusif Gilet - Homme - 8709 H20 - Noir,82.00 TND,54.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/1905/1.jpg?3136
Omiz Pull à coudière - Bleu,84.90 TND,44.90 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/1905/1.jpg?3137
Maze Pull Homme - Noir Et Bleu Ciel,38.00 TND,19.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/7405/1.jpg?9948
Maze Pull Homme - Noir Et Bleu Ciel,38.00 TND,19.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/6925/1.jpg?9990
Etre exclusif Body - Homme - Col  Roulé - 9382 H22 - NOIR,68.00 TND,44.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/3245/1.jpg?2026
barsha Pull over-Pour homme,50.00 TND,45.90 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/7905/1.jpg?3666
Zoom Fa Sweat Shirts - Tournado - Noir,89.90 TND,35.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/5094/1.jpg?8428
Omiz pull col montanT,38.00 TND,44.90 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/0563/1.jpg?8368
