name,new_price,old_price,image
Bob Pack de 2 Gilets HOMME 100% coton Peigné,,24.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/9794/1.jpg?2285
Bob Pack de 2 Gilets HOMME 100% coton Peigné,27.0,30.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/6774/1.jpg?3364
Bob Pack de 2 Gilets HOMME 100% coton Peigné,27.0,30.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/3093/1.jpg?5489
Bob Pack de 3 Gilets HOMME 100% coton Peigné,39.0,38.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/7811/1.jpg?8186
Etre exclusif Body - Homme - 9374 H22  - Blanc - Rayée,49.0,69.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/7405/1.jpg?9948
Etre exclusif Body - Homme - 9374 H22  - Bordeaux - Rayée,49.0,69.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/7905/1.jpg?3665
Etre exclusif Body - Homme - 9374 H22  - Moutarde  - Rayée,49.0,69.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/0205/1.jpg?8015
Etre exclusif Body - Homme - 9374 H22  - NOIR - Rayée,49.0,69.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/9215/1.jpg?2867
Etre exclusif Body - Homme - 9374 H22  - Vert d'eau - Rayée,49.0,69.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/4025/1.jpg?0648
Etre exclusif Body - Homme - 9374 H22  - corail - Rayée,49.0,69.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/2024/1.jpg?5186
Etre exclusif Body - Homme - 9374 H22 - Ciel - Rayée,49.0,69.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/4025/1.jpg?0648
Etre exclusif Body - Homme - 9374 H22 - Marine - Rayée,49.0,69.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/6774/1.jpg?3364
Etre exclusif Body - Homme - 9374 H22 - Moutarde Beige - Rayée,49.0,69.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/1905/1.jpg?3135
Etre exclusif Body - Homme - 9374 H22 - Moutarde Gris - Rayée,49.0,69.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/7905/1.jpg?3666
Etre exclusif Body - Homme - 9412 SH - Beige - Col V,54.0,76.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/3774/1.jpg?4769
Etre exclusif Body - Homme - 9412 SH - Bic - Col V,54.0,76.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/0084/1.jpg?5029
Etre exclusif Body - Homme - 9412 SH - Blanc - Col V,54.0,76.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/5203/1.jpg?8267
Etre exclusif Body - Homme - 9412 SH - Bordeaux - Col V,54.0,76.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/3774/1.jpg?4771
Etre exclusif Body - Homme - 9412 SH - Charbon  - Col V,54.0,76.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/0674/1.jpg?4081
Etre exclusif Body - Homme - 9412 SH - Gris - Col V,54.0,76.0,https://tn.jumia.is/cms/000_Ramadan22/00_Live/JE/TN-Ram22_Jexpress_Stickybanner.gif
Etre exclusif Body - Homme - 9412 SH - Gris foncé - Col V,54.0,76.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/1905/1.jpg?6053
Etre exclusif Body - Homme - 9412 SH - Jaune - Col V,54.0,76.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/3515/1.jpg?2762
Etre exclusif Body - Homme - 9412 SH - Marine - Col V,54.0,76.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/3125/1.jpg?8509
Etre exclusif Body - Homme - 9412 SH - Moutarde - Col V,54.0,76.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/3125/1.jpg?8509
Etre exclusif Body - Homme - 9412 SH - Noir - Col V,54.0,76.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/7905/1.jpg?3666
Etre exclusif Body - Homme - 9412 SH - VERT - Col V,54.0,76.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/3774/1.jpg?4771
Etre exclusif Body - Homme - 9425 - Ajuster - Oranger- standard,34.0,59.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/2484/1.jpg?9347
