name,new_price,old_price,image
Bob Pack de 2 Gilets HOMME 100% coton Peigné,,24.0,D:\Projects\Web-Scraping\Assets\images\0.jpg
Bob Pack de 2 Gilets HOMME 100% coton Peigné,27.0,30.0,D:\Projects\Web-Scraping\Assets\images\1.jpg
Bob Pack de 2 Gilets HOMME 100% coton Peigné,27.0,30.0,D:\Projects\Web-Scraping\Assets\images\2.jpg
Bob Pack de 3 Gilets HOMME 100% coton Peigné,39.0,38.0,D:\Projects\Web-Scraping\Assets\images\3.jpg
Etre exclusif Body - Homme - 9374 H22  - Blanc - Rayée,49.0,69.0,D:\Projects\Web-Scraping\Assets\images\4.jpg
Etre exclusif Body - Homme - 9374 H22  - Bordeaux - Rayée,49.0,69.0,D:\Projects\Web-Scraping\Assets\images\5.jpg
Etre exclusif Body - Homme - 9374 H22  - Moutarde  - Rayée,49.0,69.0,D:\Projects\Web-Scraping\Assets\images\6.jpg
Etre exclusif Body - Homme - 9374 H22  - NOIR - Rayée,49.0,69.0,D:\Projects\Web-Scraping\Assets\images\7.jpg
Etre exclusif Body - Homme - 9374 H22  - Vert d'eau - Rayée,49.0,69.0,D:\Projects\Web-Scraping\Assets\images\8.jpg
Etre exclusif Body - Homme - 9374 H22  - corail - Rayée,49.0,69.0,D:\Projects\Web-Scraping\Assets\images\9.jpg
Etre exclusif Body - Homme - 9374 H22 - Ciel - Rayée,49.0,69.0,D:\Projects\Web-Scraping\Assets\images\10.jpg
Etre exclusif Body - Homme - 9374 H22 - Marine - Rayée,49.0,69.0,D:\Projects\Web-Scraping\Assets\images\11.jpg
Etre exclusif Body - Homme - 9374 H22 - Moutarde Beige - Rayée,49.0,69.0,D:\Projects\Web-Scraping\Assets\images\12.jpg
Etre exclusif Body - Homme - 9374 H22 - Moutarde Gris - Rayée,49.0,69.0,D:\Projects\Web-Scraping\Assets\images\13.jpg
Etre exclusif Body - Homme - 9412 SH - Beige - Col V,54.0,76.0,D:\Projects\Web-Scraping\Assets\images\14.jpg
Etre exclusif Body - Homme - 9412 SH - Bic - Col V,54.0,76.0,D:\Projects\Web-Scraping\Assets\images\15.jpg
Etre exclusif Body - Homme - 9412 SH - Blanc - Col V,54.0,76.0,D:\Projects\Web-Scraping\Assets\images\16.jpg
Etre exclusif Body - Homme - 9412 SH - Bordeaux - Col V,54.0,76.0,D:\Projects\Web-Scraping\Assets\images\17.jpg
Etre exclusif Body - Homme - 9412 SH - Charbon  - Col V,54.0,76.0,D:\Projects\Web-Scraping\Assets\images\18.jpg
Etre exclusif Body - Homme - 9412 SH - Gris - Col V,54.0,76.0,D:\Projects\Web-Scraping\Assets\images\19.jpg
Etre exclusif Body - Homme - 9412 SH - Gris foncé - Col V,54.0,76.0,D:\Projects\Web-Scraping\Assets\images\20.jpg
Etre exclusif Body - Homme - 9412 SH - Jaune - Col V,54.0,76.0,D:\Projects\Web-Scraping\Assets\images\21.jpg
Etre exclusif Body - Homme - 9412 SH - Marine - Col V,54.0,76.0,D:\Projects\Web-Scraping\Assets\images\22.jpg
Etre exclusif Body - Homme - 9412 SH - Moutarde - Col V,54.0,76.0,D:\Projects\Web-Scraping\Assets\images\23.jpg
Etre exclusif Body - Homme - 9412 SH - Noir - Col V,54.0,76.0,D:\Projects\Web-Scraping\Assets\images\24.jpg
Etre exclusif Body - Homme - 9412 SH - VERT - Col V,54.0,76.0,D:\Projects\Web-Scraping\Assets\images\25.jpg
Etre exclusif Body - Homme - 9425 - Ajuster - Oranger- standard,34.0,59.0,D:\Projects\Web-Scraping\Assets\images\26.jpg
Etre exclusif Body - Homme - 9425 - Ajuster - Turquoise - standard,34.0,59.0,D:\Projects\Web-Scraping\Assets\images\27.jpg
Etre exclusif Body - Homme - 9425 - Ajuster - V.Militaire - standard,34.0,59.0,D:\Projects\Web-Scraping\Assets\images\28.jpg
Etre exclusif Body - Homme - 9425 - Ajuster - Violet  - standard,34.0,59.0,D:\Projects\Web-Scraping\Assets\images\29.jpg
Etre exclusif Body - Homme - BH107 - Bleu - Col V,39.0,59.0,D:\Projects\Web-Scraping\Assets\images\30.jpg
Etre exclusif Body - Homme - Col  Roulé - 9382 H22 - Blanc,44.0,68.0,D:\Projects\Web-Scraping\Assets\images\31.jpg
Etre exclusif Body - Homme - Col  Roulé - 9382 H22 - Bleu,44.0,68.0,D:\Projects\Web-Scraping\Assets\images\32.jpg
Etre exclusif Body - Homme - Col  Roulé - 9382 H22 - Bordeaux,44.0,68.0,D:\Projects\Web-Scraping\Assets\images\33.jpg
Etre exclusif Body - Homme - Col  Roulé - 9382 H22 - Gris,44.0,68.0,D:\Projects\Web-Scraping\Assets\images\34.jpg
Etre exclusif Body - Homme - Col  Roulé - 9382 H22 - Marine,44.0,89.9,D:\Projects\Web-Scraping\Assets\images\35.jpg
Etre exclusif Body - Homme - Col  Roulé - 9382 H22 - NOIR,44.0,68.0,D:\Projects\Web-Scraping\Assets\images\36.jpg
Etre exclusif Body - Homme - Col Roulé - 9382 H22 - Moutarde,44.0,68.0,D:\Projects\Web-Scraping\Assets\images\37.jpg
Etre exclusif Gilet - Homme - 8700 H18 - Rouge,39.0,88.0,D:\Projects\Web-Scraping\Assets\images\38.jpg
Etre exclusif Gilet - Homme - 8705 H19 - Marine à capuche,34.0,78.0,D:\Projects\Web-Scraping\Assets\images\39.jpg
Etre exclusif Gilet - Homme - 8705 H19 - NOIR à capuche,34.0,78.0,D:\Projects\Web-Scraping\Assets\images\40.jpg
Etre exclusif Gilet - Homme - 8709 H20 - Bleu jeans,54.0,82.0,D:\Projects\Web-Scraping\Assets\images\41.jpg
Etre exclusif Gilet - Homme - 8709 H20 - Bordeaux,54.0,82.0,D:\Projects\Web-Scraping\Assets\images\42.jpg
Etre exclusif Gilet - Homme - 8709 H20 - Noir,54.0,50.0,D:\Projects\Web-Scraping\Assets\images\43.jpg
